<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEXOG,D,22/01/19,00:00:00,7093.7800000,7119.6500000,7071.4800000,7119.6500000,11031826592
MOEXOG,D,23/01/19,00:00:00,7114.6000000,7196.7800000,7111.8400000,7196.7800000,9718066692
MOEXOG,D,24/01/19,00:00:00,7170.5300000,7176.3300000,7070.5000000,7111.8800000,17070053892
MOEXOG,D,25/01/19,00:00:00,7135.1200000,7198.2700000,7122.0600000,7198.2700000,12140424261
MOEXOG,D,28/01/19,00:00:00,7185.1700000,7201.6300000,7131.6500000,7150.1100000,11406314643
MOEXOG,D,29/01/19,00:00:00,7140.6600000,7218.7200000,7118.2400000,7214.8200000,11059648678
MOEXOG,D,30/01/19,00:00:00,7205.5200000,7265.6400000,7196.5700000,7265.6400000,11048101571
MOEXOG,D,31/01/19,00:00:00,7302.4300000,7306.6800000,7241.8400000,7250.8500000,14685801959
MOEXOG,D,01/02/19,00:00:00,7241.6300000,7294.4700000,7224.1200000,7247.7500000,11268202675
MOEXOG,D,04/02/19,00:00:00,7252.2600000,7307.4800000,7233.1100000,7264.2500000,8232232988
MOEXOG,D,05/02/19,00:00:00,7277.7300000,7359.2200000,7260.9300000,7349.6400000,10669854761
MOEXOG,D,06/02/19,00:00:00,7361.0500000,7361.0500000,7297.8400000,7303.3000000,8455554036
MOEXOG,D,07/02/19,00:00:00,7277.7800000,7304.3000000,7221.7800000,7233.6000000,10713330274
MOEXOG,D,08/02/19,00:00:00,7192.0700000,7234.0600000,7184.8000000,7198.6000000,9100204175
MOEXOG,D,11/02/19,00:00:00,7212.0600000,7240.8800000,7169.6600000,7180.3200000,8945610343
MOEXOG,D,12/02/19,00:00:00,7192.2800000,7250.8800000,7166.9300000,7236.1800000,8706251565
MOEXOG,D,13/02/19,00:00:00,7241.4900000,7241.4900000,7074.5100000,7074.5100000,14224777752
MOEXOG,D,14/02/19,00:00:00,7011.3800000,7075.8700000,6994.8000000,7034.0300000,18157115016
MOEXOG,D,15/02/19,00:00:00,7069.8700000,7142.4700000,7052.1500000,7142.4700000,11116691875
MOEXOG,D,18/02/19,00:00:00,7148.7700000,7161.7300000,7042.9300000,7100.2000000,9203945937
MOEXOG,D,19/02/19,00:00:00,7106.8700000,7127.6800000,7053.9200000,7084.2300000,9313815611
MOEXOG,D,20/02/19,00:00:00,7107.7600000,7154.8600000,7097.6200000,7147.7200000,10901592893
MOEXOG,D,21/02/19,00:00:00,7151.5200000,7173.3600000,7105.6100000,7120.3900000,9526415098
MOEXOG,D,22/02/19,00:00:00,7128.3400000,7181.9200000,7114.7900000,7175.1500000,8363697490
MOEXOG,D,25/02/19,00:00:00,7167.7300000,7194.1600000,7108.1100000,7134.2200000,9062577376
MOEXOG,D,26/02/19,00:00:00,7101.3500000,7137.7200000,7070.5500000,7137.7200000,9682193834
MOEXOG,D,27/02/19,00:00:00,7155.4400000,7175.5700000,7104.2500000,7142.8500000,10072086330
MOEXOG,D,28/02/19,00:00:00,7140.5300000,7140.5300000,7064.8100000,7085.5000000,14454899758
MOEXOG,D,01/03/19,00:00:00,7100.4600000,7122.7800000,7050.1500000,7053.5200000,9231350057
MOEXOG,D,04/03/19,00:00:00,7068.2600000,7074.1000000,7042.9200000,7055.6000000,7083414732
MOEXOG,D,05/03/19,00:00:00,7038.2800000,7059.9100000,7015.4900000,7022.5300000,9462025474
MOEXOG,D,06/03/19,00:00:00,7044.5200000,7092.5700000,7036.8300000,7089.1900000,10012335449
MOEXOG,D,07/03/19,00:00:00,7079.2400000,7079.2400000,7019.7000000,7030.1700000,9436512957
MOEXOG,D,11/03/19,00:00:00,7027.1400000,7027.1400000,6963.7900000,6974.9100000,10323575897
