<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SNGS,D,06/12/18,00:00:00,28.1700000,28.3700000,27.8050000,28.3500000,17634100
SNGS,D,07/12/18,00:00:00,28.2800000,28.4550000,28.2300000,28.3150000,8747800
SNGS,D,10/12/18,00:00:00,28.2400000,28.2900000,28.0050000,28.0050000,7401700
SNGS,D,11/12/18,00:00:00,27.9750000,28.2150000,27.8850000,27.9100000,9229700
SNGS,D,12/12/18,00:00:00,27.9000000,28.0800000,27.7500000,27.9450000,10912800
SNGS,D,13/12/18,00:00:00,27.9950000,28.1000000,27.6550000,28.1000000,10190700
SNGS,D,14/12/18,00:00:00,28.0900000,28.1000000,27.8200000,28.0000000,6761100
SNGS,D,17/12/18,00:00:00,27.8800000,28.3800000,27.8800000,28.1000000,14629500
SNGS,D,18/12/18,00:00:00,27.9000000,27.9900000,27.3700000,27.9300000,18947300
SNGS,D,19/12/18,00:00:00,27.9000000,27.9100000,27.4700000,27.8850000,16256000
SNGS,D,20/12/18,00:00:00,27.5500000,27.5600000,27.2050000,27.4000000,25746600
SNGS,D,21/12/18,00:00:00,27.3750000,27.4050000,26.8450000,26.8450000,31719900
SNGS,D,24/12/18,00:00:00,26.9000000,27.0000000,26.4000000,26.5000000,8700800
SNGS,D,25/12/18,00:00:00,26.4500000,26.5100000,25.9150000,26.5000000,5562100
SNGS,D,26/12/18,00:00:00,26.5150000,26.7500000,26.4400000,26.6550000,3758100
SNGS,D,27/12/18,00:00:00,26.8900000,26.9300000,26.2750000,26.4000000,14757300
SNGS,D,28/12/18,00:00:00,26.4450000,26.8800000,26.3850000,26.8000000,9818700
SNGS,D,29/12/18,00:00:00,26.8700000,26.8950000,26.7000000,26.8800000,1014800
SNGS,D,03/01/19,00:00:00,26.8000000,26.9600000,26.5650000,26.7850000,6375200
SNGS,D,04/01/19,00:00:00,26.8300000,27.0450000,26.6700000,27.0450000,5862000
SNGS,D,08/01/19,00:00:00,27.0300000,27.1600000,26.8000000,27.0100000,9225400
SNGS,D,09/01/19,00:00:00,27.0700000,27.1300000,26.9100000,27.0700000,8442700
SNGS,D,10/01/19,00:00:00,27.0500000,27.4350000,26.8750000,27.4350000,9046700
SNGS,D,11/01/19,00:00:00,27.3500000,27.6650000,27.2550000,27.6300000,10215400
SNGS,D,14/01/19,00:00:00,27.3850000,27.9750000,27.3700000,27.9750000,8529400
SNGS,D,15/01/19,00:00:00,27.9450000,28.1650000,27.6400000,28.1650000,14902000
SNGS,D,16/01/19,00:00:00,28.0800000,28.1700000,27.7500000,27.9100000,8978200
SNGS,D,17/01/19,00:00:00,27.8500000,27.8950000,27.5800000,27.8000000,10521600
SNGS,D,18/01/19,00:00:00,27.7800000,28.0300000,27.6950000,28.0250000,10059100
