"","2.5%.x","Mean.x","97.5%.x","days_to_event","2.5%.y","Mean.y","97.5%.y","2.5%","Mean","97.5%"
"1",0,0,0,"-2",-0.0126345654002441,-0.00465066502393072,0.00208069681594636,-0.023452885387761,-0.011180959286839,0.000805992003877364
"2",-0.00207100887994753,0.00266494905455221,0.00766249664748795,"-1",-0.0137824505700167,-0.00198817706871639,0.0069967944100261,-0.0248312616851372,-0.00854692115181654,0.00679166416452772
"3",-0.00163966813549244,0.00335984233329187,0.00806525372952787,"0",-0.0135775634165203,-0.00128965443798727,0.00837226518172291,-0.0228036865746841,-0.00785280994997625,0.00598680775406232
"4",0.00120953665409188,0.0101719575191193,0.0219309492353065,"1",-0.0099138296417985,0.00551488283305871,0.0191039117490794,-0.0210034986949676,-0.00105668382200056,0.0213419133965613
"5",0.000474596401311953,0.0113027963638552,0.0276635816317587,"2",-0.0106810019411326,0.00664073201186826,0.0243456788604403,-0.021600455679016,5.82594031076084e-05,0.026576183424105
"6",-0.0041738996852602,0.00703716153860572,0.0208263524923046,"3",-0.0138983422561966,0.00237250028193372,0.0182267379676713,-0.0224105374719411,-0.00421787667396067,0.0186196477167843
"7",NA,NA,NA,"-6",0,0,0,-0.0189721899856587,-0.00647831752275936,0.00632080047750804
"8",NA,NA,NA,"-5",-0.00438269719824597,-0.00198696637813771,-0.00024711611667379,-0.0207518174619862,-0.00847976735842068,0.00483111812341724
"9",NA,NA,NA,"-4",-0.001763845022961,0.00132844472701608,0.00463964787269893,-0.0154499468556302,-0.00517343459226352,0.00578021649153076
"10",NA,NA,NA,"-3",-0.0120610233835552,-0.00310638210657873,0.00318306940741412,-0.0204924481375111,-0.00962190529390199,0.00160743528798509
"11",NA,NA,NA,"4",-0.0150342162309334,0.00309803904892295,0.0188585714546603,-0.0229920605773197,-0.00351592810560049,0.0196364962708819
"12",NA,NA,NA,"5",-0.0132171930010068,0.00500970362987579,0.0207292390078998,-0.0220902866858275,-0.00161545230081974,0.0213639587198976
"13",NA,NA,NA,"6",-0.00921821334043518,0.00765177066113145,0.0237985204371291,-0.0192197671446734,0.00102038898043981,0.0233434848466994
"14",NA,NA,NA,"7",-0.0171575422240499,0.00632017843864192,0.0262125085137982,-0.0231819793185415,-0.000332701983097605,0.0264899645530491
"15",NA,NA,NA,"-14",NA,NA,NA,0,0,0
"16",NA,NA,NA,"-13",NA,NA,NA,-0.00594924415610175,-0.00132381478821169,0.00275336508633926
"17",NA,NA,NA,"-12",NA,NA,NA,-0.00667889739557298,-2.70098433808082e-05,0.00614972767683784
"18",NA,NA,NA,"-11",NA,NA,NA,-0.00740517348422075,-0.00152574328438716,0.00423902961175246
"19",NA,NA,NA,"-10",NA,NA,NA,-0.00787214635651882,-0.00192061870241055,0.00302727340317578
"20",NA,NA,NA,"-9",NA,NA,NA,-0.0126919384639662,-0.00619944390341821,-0.000157599174929551
"21",NA,NA,NA,"-8",NA,NA,NA,-0.0149091331360522,-0.00661888457338769,0.000637827020920836
"22",NA,NA,NA,"-7",NA,NA,NA,-0.0151459816489186,-0.00529804851916383,0.00435858606309271
"23",NA,NA,NA,"8",NA,NA,NA,-0.0270072097318074,-0.00368564524832695,0.0216339726546283
"24",NA,NA,NA,"9",NA,NA,NA,-0.0225693548859051,0.00178450574003968,0.0287903215685303
"25",NA,NA,NA,"10",NA,NA,NA,-0.0249648527739057,-2.28520350564862e-05,0.0279287804944803
"26",NA,NA,NA,"11",NA,NA,NA,-0.0280465481292893,-0.00297344342416901,0.0259996625793582
"27",NA,NA,NA,"12",NA,NA,NA,-0.028322470030434,-0.00268672925962131,0.0280877856421793
"28",NA,NA,NA,"13",NA,NA,NA,-0.0337222716217369,-0.00091993727585813,0.0367436452098492
"29",NA,NA,NA,"14",NA,NA,NA,-0.0377134124091324,-0.00582121011314423,0.0343405031874957
"30",NA,NA,NA,"15",NA,NA,NA,-0.040785650798327,-0.000619142488270929,0.051378314556845
