"","2.5%.x.x","Mean.x.x","97.5%.x.x","days_to_event","2.5%.y.x","Mean.y.x","97.5%.y.x","2.5%.x.x.x","Mean.x.x.x","97.5%.x.x.x","2.5%.x.y","Mean.x.y","97.5%.x.y","2.5%.y.y","Mean.y.y","97.5%.y.y","2.5%.y.y.y","Mean.y.y.y","97.5%.y.y.y","2.5%.x.x.x.x","Mean.x.x.x.x","97.5%.x.x.x.x","2.5%.y.x.x","Mean.y.x.x","97.5%.y.x.x","2.5%.x.x.x.x.x","Mean.x.x.x.x.x","97.5%.x.x.x.x.x","2.5%.x.y.y","Mean.x.y.y","97.5%.x.y.y","2.5%.y.y.y.y","Mean.y.y.y.y","97.5%.y.y.y.y","2.5%.y.y.y.y.y","Mean.y.y.y.y.y","97.5%.y.y.y.y.y"
"1",0,0,0,"-2",-0.0126345654002441,-0.00465066502393072,0.00208069681594636,-0.023452885387761,-0.011180959286839,0.000805992003877364,0,0,0,-0.0248570152904801,0.0043818435225941,0.0336207023356683,-0.0285119089868169,-0.00599502268003976,0.0165218636267373,0,0,0,-0.00640075358055568,0.0209474977353601,0.0686983687258907,-0.0012747919207188,0.0595447223130027,0.162448516878715,0,0,0,-0.0230713471605527,-0.010524867501001,0.0055603297625403,-0.0623369544519355,-0.0311926832291821,-0.00411945491073409
"2",-0.00207100887994753,0.00266494905455221,0.00766249664748795,"-1",-0.0137824505700167,-0.00198817706871639,0.0069967944100261,-0.0248312616851372,-0.00854692115181654,0.00679166416452772,-0.00399020896470085,-0.0011125075931129,0.00176519377847505,-0.0231324757678069,0.00325372845065109,0.0296399326691091,-0.0267946027398419,-0.00711411136741437,0.0125663800050131,-0.00268630884673111,0.00234688436213023,0.00876341180991775,-0.0070382722482842,0.0233221968727272,0.0705657760812959,0.0042396736321312,0.0619171267041278,0.162933284893569,-0.0129129796188887,-0.00314092302705469,0.00203703245198693,-0.0359930778406745,-0.0136708185439862,0.00701739909498773,-0.060331119377344,-0.0343465373887543,-0.00266094883956116
"3",-0.00163966813549244,0.00335984233329187,0.00806525372952787,"0",-0.0135775634165203,-0.00128965443798727,0.00837226518172291,-0.0228036865746841,-0.00785280994997625,0.00598680775406232,0.00284879222876963,0.00383262715770671,0.00481646208664378,-0.0220886504104965,0.00818454465272114,0.0384577397159388,-0.0257564459813713,-0.00218917173755466,0.021378102506262,-0.0131720636951204,-0.00158811138854534,0.0103162780996614,-0.0140413232314429,0.0194419664950513,0.0638600224499724,0.00373776539904581,0.0580514332520193,0.155480242920897,-0.0091376538006373,-0.00623971915688075,-0.00247613764190239,-0.0322267470124869,-0.0167712291704841,0.00310154676528288,-0.0695046918350552,-0.0374645349021453,-0.0066042909542879
"4",0.00120953665409188,0.0101719575191193,0.0219309492353065,"1",-0.0099138296417985,0.00551488283305871,0.0191039117490794,-0.0210034986949676,-0.00105668382200056,0.0213419133965613,0.0046465369689236,0.00990702807869977,0.0151675191884759,-0.0097841349777993,0.0142574426116087,0.0382990202010166,-0.0134122095896025,0.00389990093602853,0.0212120114616596,-0.0275085656753385,-0.0104065478774245,0.00659210328998327,-0.0228171416041537,0.0106558803954421,0.0487245022297067,-0.00144517506681913,0.0492640511784354,0.138946592353969,-0.00695131605895514,0.00100915650543724,0.00562288136888977,-0.0300479377151809,-0.00951970928948155,0.00995000762147815,-0.0568074041507451,-0.0302378237821115,0.000207748423238282
"5",0.000474596401311953,0.0113027963638552,0.0276635816317587,"2",-0.0106810019411326,0.00664073201186826,0.0243456788604403,-0.021600455679016,5.82594031076084e-05,0.026576183424105,0.00447661185120341,0.0133300914177777,0.0221835709843521,-0.00277910988258844,0.017680595401753,0.0381403006860944,-0.00636180825348367,0.00734205608178673,0.0210459204170571,-0.0419010193432732,-0.0161473721166162,0.00548260499061179,-0.0229491084581413,0.00494814278148544,0.0333539810985015,-0.00265378898696242,0.0435638754862174,0.122769390353587,-0.0194538874448757,0.000652879024673729,0.0191695064704872,-0.0425581087766853,-0.0098773264028066,0.00784924792806509,-0.046631766535533,-0.0306133869417055,-0.00191646091476431
"6",-0.0041738996852602,0.00703716153860572,0.0208263524923046,"3",-0.0138983422561966,0.00237250028193372,0.0182267379676713,-0.0224105374719411,-0.00421787667396067,0.0186196477167843,0.00865805296710988,0.0202566666082162,0.0318552802493225,0.00688484387158629,0.0246090072755487,0.0423331706795112,0.00335333037876026,0.0142903105434572,0.0252272907081542,-0.0419701337748654,-0.0156219454602562,0.00698568600210117,-0.0230176851575597,0.0055084562060671,0.0344927593061062,-0.00239896683366467,0.0441317085337404,0.123190686190139,-0.0182055290979928,0.00329184135827413,0.0261855145769064,-0.041317906746779,-0.0072402690329238,0.0120796872084422,-0.0453976005872486,-0.0279957251207841,-0.00228237574110456
"7",NA,NA,NA,"-6",0,0,0,-0.0189721899856587,-0.00647831752275936,0.00632080047750804,NA,NA,NA,0,0,0,-0.0170857059426945,-0.010388624124935,-0.00369154230717558,NA,NA,NA,0,0,0,-0.000918513411837421,0.0385237637240301,0.0949095959869895,NA,NA,NA,0,0,0,-0.0481886446186629,-0.02056969749098,-0.00402891483677762
"8",NA,NA,NA,"-5",-0.00438269719824597,-0.00198696637813771,-0.00024711611667379,-0.0207518174619862,-0.00847976735842068,0.00483111812341724,NA,NA,NA,-0.0199703821725131,-0.0100645508437177,-0.000158719514922214,-0.0236472551042508,-0.0204495260457739,-0.0172517969872969,NA,NA,NA,-0.000616757438789743,0.0215801650322255,0.0617855940388589,0.000712303158782349,0.0601658846768942,0.15660603743503,NA,NA,NA,-0.0102860335716198,-0.00136203194578583,0.00621217224733979,-0.0482229863843189,-0.0219579980495502,-0.00332820581908247
"9",NA,NA,NA,"-4",-0.001763845022961,0.00132844472701608,0.00463964787269893,-0.0154499468556302,-0.00517343459226352,0.00578021649153076,NA,NA,NA,-0.0245050565973351,-0.00915656744130102,0.00619192171473303,-0.0281837533806608,-0.0195393880473758,-0.0108950227140907,NA,NA,NA,-0.0021322844430745,0.0206647025387411,0.0615121002872452,-0.00110494892169661,0.0592588019481741,0.156645045532401,NA,NA,NA,-0.0228580497963405,-0.0103389430387787,0.00588033675884005,-0.0622682709206234,-0.0309537171026869,-0.00369412064542271
"10",NA,NA,NA,"-3",-0.0120610233835552,-0.00310638210657873,0.00318306940741412,-0.0204924481375111,-0.00962190529390199,0.00160743528798509,NA,NA,NA,-0.0246810359439076,-0.00207623239399104,0.0205285711559255,-0.0283478311837389,-0.0124614036458627,0.00342502389201342,NA,NA,NA,-0.00567728660300776,0.018304362418705,0.0602078282673709,-0.00379398006392649,0.0568849777258822,0.155653201667077,NA,NA,NA,-0.0229646984784466,-0.0104891826000065,0.00554850127034031,-0.0623026126862795,-0.031124282730496,-0.00406003547176296
