"","2.5%.x","Mean.x","97.5%.x","days_to_event","2.5%.y","Mean.y","97.5%.y","2.5%","Mean","97.5%"
"1",0,0,0,"-2",-0.0248570152904801,0.0043818435225941,0.0336207023356683,-0.0285119089868169,-0.00599502268003976,0.0165218636267373
"2",-0.00399020896470085,-0.0011125075931129,0.00176519377847505,"-1",-0.0231324757678069,0.00325372845065109,0.0296399326691091,-0.0267946027398419,-0.00711411136741437,0.0125663800050131
"3",0.00284879222876963,0.00383262715770671,0.00481646208664378,"0",-0.0220886504104965,0.00818454465272114,0.0384577397159388,-0.0257564459813713,-0.00218917173755466,0.021378102506262
"4",0.0046465369689236,0.00990702807869977,0.0151675191884759,"1",-0.0097841349777993,0.0142574426116087,0.0382990202010166,-0.0134122095896025,0.00389990093602853,0.0212120114616596
"5",0.00447661185120341,0.0133300914177777,0.0221835709843521,"2",-0.00277910988258844,0.017680595401753,0.0381403006860944,-0.00636180825348367,0.00734205608178673,0.0210459204170571
"6",0.00865805296710988,0.0202566666082162,0.0318552802493225,"3",0.00688484387158629,0.0246090072755487,0.0423331706795112,0.00335333037876026,0.0142903105434572,0.0252272907081542
"7",NA,NA,NA,"-6",0,0,0,-0.0170857059426945,-0.010388624124935,-0.00369154230717558
"8",NA,NA,NA,"-5",-0.0199703821725131,-0.0100645508437177,-0.000158719514922214,-0.0236472551042508,-0.0204495260457739,-0.0172517969872969
"9",NA,NA,NA,"-4",-0.0245050565973351,-0.00915656744130102,0.00619192171473303,-0.0281837533806608,-0.0195393880473758,-0.0108950227140907
"10",NA,NA,NA,"-3",-0.0246810359439076,-0.00207623239399104,0.0205285711559255,-0.0283478311837389,-0.0124614036458627,0.00342502389201342
"11",NA,NA,NA,"4",0.0067088645250138,0.0233545538976232,0.0400002432702326,0.00318925257568225,0.0130330302579416,0.022876807940201
"12",NA,NA,NA,"5",0.00653288517844131,0.0123186137922417,0.0181043424060421,0.000979182787664217,0.00200217878013423,0.00302517477260425
"13",NA,NA,NA,"6",0.00213145976097592,0.0167936508186308,0.0314558418762856,-0.00138025260856151,0.00646127691270718,0.0143028064339759
"14",NA,NA,NA,"7",-0.0150760469336016,0.00578190280937611,0.0266398525523538,-0.0185812469867846,-0.00456236497891564,0.00945651702895328
"15",NA,NA,NA,"-14",NA,NA,NA,0,0,0
"16",NA,NA,NA,"-13",NA,NA,NA,-0.0160538141538922,-0.00810995259924729,-0.000166091044602424
"17",NA,NA,NA,"-12",NA,NA,NA,-0.00719617884343766,-0.00376418046632126,-0.000332182089204849
"18",NA,NA,NA,"-11",NA,NA,NA,-0.00753697458651488,0.00131661810412053,0.0101702107947559
"19",NA,NA,NA,"-10",NA,NA,NA,-0.0304247449890739,-0.010209305998698,0.0100061329916779
"20",NA,NA,NA,"-9",NA,NA,NA,-0.0156179271023156,-0.00288793595685785,0.00984205518859993
"21",NA,NA,NA,"-8",NA,NA,NA,-0.0100175535369693,0.00345031475672194,0.0169181830504132
"22",NA,NA,NA,"-7",NA,NA,NA,-0.0169196148980921,-8.27548253784661e-05,0.0167541052473352
"23",NA,NA,NA,"8",NA,NA,NA,-0.0242760557070274,-0.00749281486133825,0.00929042598435086
"24",NA,NA,NA,"9",NA,NA,NA,-0.0445831165165588,-0.0177293907884052,0.00912433493974843
"25",NA,NA,NA,"10",NA,NA,NA,-0.0473862049190163,-0.0192139805119352,0.00895824389514601
"26",NA,NA,NA,"11",NA,NA,NA,-0.0475502827220943,-0.0127920380103804,0.0219662067013335
"27",NA,NA,NA,"12",NA,NA,NA,-0.0477143605251723,-0.0216533130117642,0.00440773450164387
"28",NA,NA,NA,"13",NA,NA,NA,-0.0534496228743945,-0.0295290955104666,-0.00560856814653873
"29",NA,NA,NA,"14",NA,NA,NA,-0.034138828288386,-0.0205979359039493,-0.00705704351951256
"30",NA,NA,NA,"15",NA,NA,NA,-0.0480842294548327,-0.0276536820094738,-0.00722313456411498
