<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEXOG,D,12/04/12,00:00:00,3192.7600000,3201.1600000,3150.6300000,3182.0600000,20669156574
MOEXOG,D,13/04/12,00:00:00,3192.6900000,3225.2200000,3185.3700000,3201.8600000,23820123462
MOEXOG,D,16/04/12,00:00:00,3189.2800000,3219.5400000,3157.6000000,3162.8500000,20509835012
MOEXOG,D,17/04/12,00:00:00,3165.5300000,3173.2800000,3132.5900000,3149.4500000,24866468124
MOEXOG,D,18/04/12,00:00:00,3156.7600000,3180.8900000,3138.6600000,3143.1900000,16460976710
MOEXOG,D,19/04/12,00:00:00,3143.6900000,3220.1400000,3143.6900000,3198.5300000,24303076920
MOEXOG,D,20/04/12,00:00:00,3193.6800000,3219.2400000,3176.9700000,3213.1200000,17378477929
MOEXOG,D,23/04/12,00:00:00,3205.3800000,3205.3800000,3125.0500000,3130.1800000,18286322053
MOEXOG,D,24/04/12,00:00:00,3136.1000000,3142.5700000,3083.8000000,3105.5400000,16596669164
MOEXOG,D,25/04/12,00:00:00,3105.7500000,3126.5600000,3092.7300000,3095.2400000,12306732469
MOEXOG,D,26/04/12,00:00:00,3098.1200000,3106.4900000,3060.8400000,3067.1400000,14264431681
MOEXOG,D,27/04/12,00:00:00,3066.5900000,3121.1600000,3060.1900000,3120.9000000,17153482007
MOEXOG,D,28/04/12,00:00:00,3118.6200000,3130.7500000,3118.6200000,3128.9700000,3169713781
MOEXOG,D,02/05/12,00:00:00,3134.1800000,3159.3300000,3048.6100000,3049.3300000,17342344366
MOEXOG,D,03/05/12,00:00:00,3050.7400000,3070.5300000,3018.3300000,3034.2700000,13088129198
MOEXOG,D,04/05/12,00:00:00,3031.9700000,3031.9700000,2917.3900000,2924.9900000,21004805892
MOEXOG,D,05/05/12,00:00:00,2920.1900000,2925.7000000,2902.7600000,2915.4900000,4713147065
MOEXOG,D,07/05/12,00:00:00,2875.8700000,2944.4300000,2858.8400000,2934.1100000,7133854227
MOEXOG,D,08/05/12,00:00:00,2934.4200000,2958.0600000,2888.9200000,2912.4800000,9103616097
